subject,condition,method,subset,m_used,K_last_full,R2_at_K_last_full,K_last_ck,R2_at_K_last_ck,K70,K70_norm,K70_cens,K70_norm_cens,attained_70,K75,K75_norm,K75_cens,K75_norm_cens,attained_75,K90,K90_norm,K90_cens,K90_norm_cens,attained_90,R2_K1,R2_K4,R2_K9,R2_K16,R2_K25,R2_K36,R2_K49
010002,EC,ICA,ALL59,59,59,1.0,49,0.991811081007776,24,0.4067796610169492,59,1.0,1,25,0.423728813559322,59,1.0,1,33.0,0.559322033898305,59,1.0,1,0.010023135911532708,0.0477736539658461,0.3460647229544783,0.5997178899755825,0.7713569583864783,0.932517772276894,0.991811081007776
010003,EC,ICA,ALL59,59,59,1.0,49,0.9937339419689588,27,0.4576271186440678,59,1.0,1,27,0.4576271186440678,59,1.0,1,36.0,0.6101694915254238,59,1.0,1,0.012802309009103343,0.06780403195088795,0.10906108537583172,0.23524019151175135,0.6324153475509728,0.9314705328708361,0.9937339419689588
010004,EC,ICA,ALL59,59,59,1.0,49,0.9996429827874279,23,0.3898305084745763,59,1.0,1,24,0.4067796610169492,59,1.0,1,28.0,0.4745762711864407,59,1.0,1,0.017370492550797083,0.19680339006368586,0.32904619215981445,0.5121613061265476,0.878314504491422,0.9924848383575663,0.9996429827874279
010005,EC,ICA,ALL59,59,59,1.0,49,0.9959154764906479,21,0.3559322033898305,59,1.0,1,22,0.3728813559322034,59,1.0,1,27.0,0.4576271186440678,59,1.0,1,0.024399845236943146,0.043706601211105,0.12641954733414293,0.5049120714215573,0.856392416183644,0.9667460925818663,0.9959154764906479
010006,EC,ICA,ALL59,59,59,1.0,49,0.9982900625692853,13,0.22033898305084745,59,1.0,1,17,0.288135593220339,59,1.0,1,22.0,0.3728813559322034,59,1.0,1,0.03402504589315141,0.2108842500703434,0.4451130161485974,0.7468725886576991,0.9243671044046529,0.9780096799442282,0.9982900625692853
010007,EC,ICA,ALL59,55,55,1.0,49,0.9995568946365664,22,0.4,55,1.0,1,22,0.4,55,1.0,1,29.0,0.5272727272727272,55,1.0,1,0.022798058887435132,0.043632446426337054,0.2764995852928306,0.40203617564377836,0.8595687147004347,0.994736682626294,0.9995568946365664
010010,EC,ICA,ALL59,57,57,1.0,49,0.9956652282735536,26,0.45614035087719296,57,1.0,1,28,0.49122807017543857,57,1.0,1,35.0,0.6140350877192983,57,1.0,1,0.016472610374410324,0.055037471959863395,0.18174327727014009,0.3472023154750385,0.6864277984922407,0.9250208893514861,0.9956652282735536
010012,EC,ICA,ALL59,59,59,1.0,49,0.9996151432673961,22,0.3728813559322034,59,1.0,1,22,0.3728813559322034,59,1.0,1,24.0,0.4067796610169492,59,1.0,1,0.01659453366618949,0.0710722120945843,0.08925118253698916,0.2793060658672685,0.903729194681406,0.957748583412501,0.9996151432673961
010016,EC,ICA,ALL59,58,58,1.0,49,0.9966687185827675,19,0.3275862068965517,58,1.0,1,27,0.46551724137931033,58,1.0,1,35.0,0.603448275862069,58,1.0,1,0.005800507375064359,0.11130732847549094,0.31089293754597697,0.650061904998983,0.7485866610247521,0.9353260274768374,0.9966687185827675
010017,EC,ICA,ALL59,59,59,1.0,49,0.997356044935828,25,0.423728813559322,59,1.0,1,27,0.4576271186440678,59,1.0,1,31.0,0.5254237288135594,59,1.0,1,0.017108939032493106,0.09801132100740387,0.22252266481121608,0.35827178975420615,0.7007503666921201,0.9616206701771781,0.997356044935828
010019,EC,ICA,ALL59,55,55,1.0,49,0.9990608621842806,24,0.43636363636363634,55,1.0,1,24,0.43636363636363634,55,1.0,1,25.0,0.45454545454545453,55,1.0,1,0.002350952079710183,0.04330038866041058,0.25031588199186977,0.3660220390325805,0.9061100764926024,0.9337972038564004,0.9990608621842806
010020,EC,ICA,ALL59,56,56,1.0,49,0.9988148470387457,25,0.44642857142857145,56,1.0,1,27,0.48214285714285715,56,1.0,1,32.0,0.5714285714285714,56,1.0,1,0.008725409994253747,0.07544092592811175,0.14552752971627814,0.34450339752932896,0.7032767451910631,0.9645590987641312,0.9988148470387457
010021,EC,ICA,ALL59,59,59,1.0,49,0.9943046838261849,30,0.5084745762711864,59,1.0,1,33,0.559322033898305,59,1.0,1,35.0,0.5932203389830508,59,1.0,1,0.015685711317640436,0.04809419771998362,0.24718984539966943,0.42775754687664447,0.5318318188020957,0.9705543609827515,0.9943046838261849
010022,EC,ICA,ALL59,59,59,1.0,49,0.9959537988160571,29,0.4915254237288136,59,1.0,1,29,0.4915254237288136,59,1.0,1,36.0,0.6101694915254238,59,1.0,1,0.014961023103754838,0.0988129014958424,0.15846020694613053,0.4273712288949761,0.6546186338660023,0.9027480460031262,0.9959537988160571
010023,EC,ICA,ALL59,59,59,1.0,49,0.9984880516374703,25,0.423728813559322,59,1.0,1,25,0.423728813559322,59,1.0,1,32.0,0.5423728813559322,59,1.0,1,0.020573280490869133,0.08874728615420162,0.17116085253303118,0.42218425347670774,0.7795175649204923,0.9563278680507051,0.9984880516374703
010024,EC,ICA,ALL59,59,59,1.0,49,0.9969231255054263,25,0.423728813559322,59,1.0,1,25,0.423728813559322,59,1.0,1,33.0,0.559322033898305,59,1.0,1,0.008947579592174838,0.027025408795853755,0.14283734716532276,0.2627001500921823,0.7712407372627544,0.9778249217773446,0.9969231255054263
