subject,condition,method,subset,m_used,K_last_full,R2_at_K_last_full,K_last_ck,R2_at_K_last_ck,K70,K70_norm,K70_cens,K70_norm_cens,attained_70,K75,K75_norm,K75_cens,K75_norm_cens,attained_75,K90,K90_norm,K90_cens,K90_norm_cens,attained_90,R2_K1,R2_K4,R2_K9,R2_K16
010002,EC,ICA,canonical_19,19,19,1.0,16,0.8612879119249649,14.0,0.7368421052631579,19,1.0,1,14.0,0.7368421052631579,19,1.0,1,17.0,0.8947368421052632,19,1.0,1,0.011217494246960856,0.056993454449856755,0.13796439694159976,0.8612879119249649
010003,EC,ICA,canonical_19,19,19,1.0,16,0.802185839228279,14.0,0.7368421052631579,19,1.0,1,14.0,0.7368421052631579,19,1.0,1,17.0,0.8947368421052632,19,1.0,1,0.007678884883174881,0.041094602309446455,0.09740243161849747,0.802185839228279
010004,EC,ICA,canonical_19,19,19,1.0,16,0.5555207248070159,17.0,0.8947368421052632,19,1.0,1,17.0,0.8947368421052632,19,1.0,1,17.0,0.8947368421052632,19,1.0,1,0.011941918559634368,0.12535365663214754,0.31598051774694247,0.5555207248070159
010005,EC,ICA,canonical_19,19,19,1.0,16,0.9679927717577543,15.0,0.7894736842105263,19,1.0,1,15.0,0.7894736842105263,19,1.0,1,16.0,0.8421052631578947,19,1.0,1,0.027398649890026845,0.10833692189112694,0.5782588221917478,0.9679927717577543
010006,EC,ICA,canonical_19,19,19,1.0,16,0.9945323932939942,9.0,0.47368421052631576,19,1.0,1,9.0,0.47368421052631576,19,1.0,1,12.0,0.631578947368421,19,1.0,1,0.01321111290266142,0.21538382851245877,0.8736399876171909,0.9945323932939942
010007,EC,ICA,canonical_19,17,17,1.0,16,1.0,10.0,0.5882352941176471,17,1.0,1,10.0,0.5882352941176471,17,1.0,1,15.0,0.8823529411764706,17,1.0,1,0.0308950732548192,0.07146310124908432,0.40644916634166683,1.0
010010,EC,ICA,canonical_19,17,17,1.0,16,1.0,12.0,0.7058823529411765,17,1.0,1,13.0,0.7647058823529411,17,1.0,1,16.0,0.9411764705882353,17,1.0,1,0.010086469476538271,0.07417217935674765,0.5317994698121813,1.0
010012,EC,ICA,canonical_19,19,19,1.0,16,0.9901748820073593,12.0,0.631578947368421,19,1.0,1,12.0,0.631578947368421,19,1.0,1,12.0,0.631578947368421,19,1.0,1,0.035562796965732425,0.0688917864992286,0.43707790319212075,0.9901748820073593
010016,EC,ICA,canonical_19,18,18,1.0,16,0.9398340949219592,12.0,0.6666666666666666,18,1.0,1,12.0,0.6666666666666666,18,1.0,1,16.0,0.8888888888888888,18,1.0,1,0.021096874229956254,0.11788481955719718,0.4252618795570076,0.9398340949219592
010017,EC,ICA,canonical_19,19,19,1.0,16,0.9359956277813457,11.0,0.5789473684210527,19,1.0,1,11.0,0.5789473684210527,19,1.0,1,16.0,0.8421052631578947,19,1.0,1,0.03434869543306871,0.09782695707463282,0.42789428933739354,0.9359956277813457
010019,EC,ICA,canonical_19,18,18,1.0,16,0.25237548704074847,17.0,0.9444444444444444,18,1.0,1,17.0,0.9444444444444444,18,1.0,1,17.0,0.9444444444444444,18,1.0,1,0.006188284185734037,0.0429041659383749,0.05781871253079979,0.25237548704074847
010020,EC,ICA,canonical_19,16,16,1.0,16,1.0,15.0,0.9375,16,1.0,1,15.0,0.9375,16,1.0,1,15.0,0.9375,16,1.0,1,0.03721109408595252,0.16109760698893996,0.283593179830723,1.0
010021,EC,ICA,canonical_19,19,19,1.0,16,0.8567974539169582,16.0,0.8421052631578947,19,1.0,1,16.0,0.8421052631578947,19,1.0,1,17.0,0.8947368421052632,19,1.0,1,0.013562696526928292,0.10616788235517736,0.18658021751515258,0.8567974539169582
010022,EC,ICA,canonical_19,19,19,1.0,16,0.33000992174201416,18.0,0.9473684210526315,19,1.0,1,18.0,0.9473684210526315,19,1.0,1,18.0,0.9473684210526315,19,1.0,1,0.01721338208080924,0.06758750927831761,0.16344600383851007,0.33000992174201416
010023,EC,ICA,canonical_19,19,19,1.0,16,0.8611364973336145,13.0,0.6842105263157895,19,1.0,1,14.0,0.7368421052631579,19,1.0,1,17.0,0.8947368421052632,19,1.0,1,0.01538533470812163,0.15681581439751155,0.28140432558811757,0.8611364973336145
010024,EC,ICA,canonical_19,19,19,1.0,16,0.7596975326014848,15.0,0.7894736842105263,19,1.0,1,16.0,0.8421052631578947,19,1.0,1,18.0,0.9473684210526315,19,1.0,1,0.010767775336861116,0.13473247849928444,0.19964031054655312,0.7596975326014848
010026,EC,ICA,canonical_19,19,19,1.0,16,0.8867076161667874,16.0,0.8421052631578947,19,1.0,1,16.0,0.8421052631578947,19,1.0,1,18.0,0.9473684210526315,19,1.0,1,0.006571944899797691,0.04244526064387435,0.24375900130584824,0.8867076161667874
010027,EC,ICA,canonical_19,18,18,1.0,16,0.9655175883174971,16.0,0.8888888888888888,18,1.0,1,16.0,0.8888888888888888,18,1.0,1,16.0,0.8888888888888888,18,1.0,1,0.013218871167260133,0.07480394968784,0.17048688405743354,0.9655175883174971
010028,EC,ICA,canonical_19,19,19,1.0,16,0.9943428022097516,16.0,0.8421052631578947,19,1.0,1,16.0,0.8421052631578947,19,1.0,1,16.0,0.8421052631578947,19,1.0,1,0.006852035593052394,0.04557110758023086,0.22935979969074563,0.9943428022097516
