subject,condition,method,subset,m_used,K_last_full,R2_at_K_last_full,K_last_ck,R2_at_K_last_ck,K70,K70_norm,K70_cens,K70_norm_cens,attained_70,K75,K75_norm,K75_cens,K75_norm_cens,attained_75,K90,K90_norm,K90_cens,K90_norm_cens,attained_90,R2_K1,R2_K4,R2_K9,R2_K16,R2_K25
010002,EC,ICA,canonical_32,32,32,1.0,25,0.9233475063372851,13,0.40625,32,1.0,1,14.0,0.4375,32,1.0,1,20.0,0.625,32,1.0,1,0.030530449247032198,0.14196013148504424,0.2589172662570135,0.8628474869157989,0.9233475063372851
010003,EC,ICA,canonical_32,32,32,1.0,25,0.9067430944917614,19,0.59375,32,1.0,1,19.0,0.59375,32,1.0,1,25.0,0.78125,32,1.0,1,0.01501845445371277,0.024030173854912993,0.05453586112626038,0.49401117653599214,0.9067430944917614
010004,EC,ICA,canonical_32,32,32,1.0,25,0.9760590712024036,18,0.5625,32,1.0,1,19.0,0.59375,32,1.0,1,22.0,0.6875,32,1.0,1,0.014823725018663803,0.056603355195312496,0.12436018601959321,0.61822562216236,0.9760590712024036
010005,EC,ICA,canonical_32,32,32,1.0,25,0.9491439176994555,21,0.65625,32,1.0,1,21.0,0.65625,32,1.0,1,24.0,0.75,32,1.0,1,0.056586051137305714,0.0755713385242456,0.288963018445534,0.58189154778786,0.9491439176994555
010006,EC,ICA,canonical_32,32,32,1.0,25,0.998201916696851,11,0.34375,32,1.0,1,11.0,0.34375,32,1.0,1,16.0,0.5,32,1.0,1,0.02433869420931017,0.2223007159023999,0.5011951136801981,0.9110661463303207,0.998201916696851
010007,EC,ICA,canonical_32,29,29,1.0,25,0.9997842678093635,16,0.5517241379310345,29,1.0,1,18.0,0.6206896551724138,29,1.0,1,25.0,0.8620689655172413,29,1.0,1,0.029500758794862147,0.0823796175622811,0.24293862206384262,0.7090484968785418,0.9997842678093635
010010,EC,ICA,canonical_32,30,30,1.0,25,0.9931532776970973,18,0.6,30,1.0,1,20.0,0.6666666666666666,30,1.0,1,23.0,0.7666666666666667,30,1.0,1,0.016528046820292783,0.04962338866461225,0.14239831873771766,0.35142103758896553,0.9931532776970973
010012,EC,ICA,canonical_32,32,32,1.0,25,0.9737481501333912,16,0.5,32,1.0,1,18.0,0.5625,32,1.0,1,19.0,0.59375,32,1.0,1,0.010572129915425207,0.08131101757814514,0.17920770400816358,0.7266166463551529,0.9737481501333912
010016,EC,ICA,canonical_32,31,31,1.0,25,0.9299130471822942,20,0.6451612903225806,31,1.0,1,20.0,0.6451612903225806,31,1.0,1,24.0,0.7741935483870968,31,1.0,1,0.02636673044669825,0.09858349901892716,0.1610654979985483,0.5684535124222586,0.9299130471822942
010017,EC,ICA,canonical_32,32,32,1.0,25,0.9334135991762894,20,0.625,32,1.0,1,21.0,0.65625,32,1.0,1,22.0,0.6875,32,1.0,1,0.019729363424586994,0.13040369501923132,0.27090731948474894,0.5114494373131323,0.9334135991762894
010019,EC,ICA,canonical_32,31,31,1.0,25,0.9685760595095824,20,0.6451612903225806,31,1.0,1,20.0,0.6451612903225806,31,1.0,1,24.0,0.7741935483870968,31,1.0,1,0.009752775127205909,0.025282833008584405,0.10196792016477207,0.41047546322139933,0.9685760595095824
010020,EC,ICA,canonical_32,29,29,1.0,25,0.9882536427704982,17,0.5862068965517241,29,1.0,1,18.0,0.6206896551724138,29,1.0,1,21.0,0.7241379310344828,29,1.0,1,0.016410552060618044,0.10777436282989582,0.3223493948021245,0.6991472104668182,0.9882536427704982
010021,EC,ICA,canonical_32,32,32,1.0,25,0.8795021148291501,16,0.5,32,1.0,1,22.0,0.6875,32,1.0,1,26.0,0.8125,32,1.0,1,0.01272956030731657,0.08081239486767733,0.15871460958347972,0.7252663403333435,0.8795021148291501
010022,EC,ICA,canonical_32,32,32,1.0,25,0.983517737673628,19,0.59375,32,1.0,1,19.0,0.59375,32,1.0,1,22.0,0.6875,32,1.0,1,0.013439798113493358,0.08792232123475868,0.13673896121619178,0.5867961094432426,0.983517737673628
010023,EC,ICA,canonical_32,32,32,1.0,25,0.9279731652910166,20,0.625,32,1.0,1,21.0,0.65625,32,1.0,1,23.0,0.71875,32,1.0,1,0.027884989380639425,0.08752874542034494,0.4073816453098941,0.4952928980921045,0.9279731652910166
010024,EC,ICA,canonical_32,32,32,1.0,25,0.9274017531292856,19,0.59375,32,1.0,1,22.0,0.6875,32,1.0,1,25.0,0.78125,32,1.0,1,0.0134170223320751,0.0329050727831652,0.05209458284515193,0.3731655469718084,0.9274017531292856
010026,EC,ICA,canonical_32,32,32,1.0,25,0.9322860099017783,18,0.5625,32,1.0,1,18.0,0.5625,32,1.0,1,22.0,0.6875,32,1.0,1,0.014597707400584284,0.055846379374262275,0.2593903280218611,0.6827413174076307,0.9322860099017783
010027,EC,ICA,canonical_32,31,31,1.0,25,0.9698997835855,23,0.7419354838709677,31,1.0,1,23.0,0.7419354838709677,31,1.0,1,23.0,0.7419354838709677,31,1.0,1,0.005899853576135685,0.028737880424817338,0.19629122708476565,0.395872394586329,0.9698997835855
010028,EC,ICA,canonical_32,32,32,1.0,25,0.9445705584199559,22,0.6875,32,1.0,1,22.0,0.6875,32,1.0,1,25.0,0.78125,32,1.0,1,0.01303617213761575,0.03656808947181148,0.1989731662280315,0.4609764018902001,0.9445705584199559
010029,EC,ICA,canonical_32,32,32,1.0,25,0.9944114102937288,13,0.40625,32,1.0,1,13.0,0.40625,32,1.0,1,14.0,0.4375,32,1.0,1,0.005005673454955337,0.029322940801355234,0.4332678069066427,0.9575784876073316,0.9944114102937288
010030,EC,ICA,canonical_32,32,32,1.0,25,0.9908255211335005,13,0.40625,32,1.0,1,14.0,0.4375,32,1.0,1,18.0,0.5625,32,1.0,1,0.04234497535020034,0.20980361031189723,0.40950090865217353,0.8854160411691059,0.9908255211335005
010031,EC,ICA,canonical_32,32,32,1.0,25,0.9307964303447862,21,0.65625,32,1.0,1,21.0,0.65625,32,1.0,1,23.0,0.71875,32,1.0,1,0.015381588424233112,0.09028938300239912,0.3972906954107491,0.5737198557234084,0.9307964303447862
