subset,condition,method,K,R2_mean,R2_lo,R2_hi
ALL59,EC,ICA,1,0.019367253977715843,0.016712132767961317,0.022441435991459195
ALL59,EC,ICA,4,0.07768031953176993,0.0702486668106319,0.08536351519896974
ALL59,EC,ICA,9,0.20611415706494196,0.19066597277499547,0.2221441345303841
ALL59,EC,ICA,16,0.45432941662704185,0.4319679595751462,0.4775254252206959
ALL59,EC,ICA,25,0.7798540813919915,0.7623653752545397,0.7978141127142692
ALL59,EC,ICA,36,0.9505734713127204,0.9438179269529016,0.956590401306952
ALL59,EC,ICA,49,0.9963999594425283,0.9955771137990775,0.9970374106997294
ALL59,EC,LB,1,0.28922620479238637,0.2696545238013971,0.30982168521739567
ALL59,EC,LB,4,0.5648349179612299,0.5433766090666979,0.5852265145740143
ALL59,EC,LB,9,0.7198917729350954,0.7038938103546268,0.7349082678458537
ALL59,EC,LB,16,0.8376230090772956,0.8249108020694524,0.8496781869733153
ALL59,EC,LB,25,0.9157915938693179,0.9077788131451245,0.9232708559955906
ALL59,EC,LB,36,0.9565722448121899,0.9514073278560506,0.961197641839463
ALL59,EC,LB,49,0.9864940447368268,0.9839839581958723,0.9885962927819549
ALL59,EC,PCA,1,0.028483812438655734,0.025496200996342793,0.031824457499048546
ALL59,EC,PCA,4,0.0754920259396912,0.06682219661245227,0.08493958554757423
ALL59,EC,PCA,9,0.14716436719107948,0.13170689160077179,0.16256084295856946
ALL59,EC,PCA,16,0.47457862785484756,0.43804411604711896,0.5106802962235863
ALL59,EC,PCA,25,0.9016466796781019,0.8878232130625778,0.914738702068535
ALL59,EC,PCA,36,0.9917075345556534,0.9905490315398983,0.9927529604496043
ALL59,EC,PCA,49,0.9995491130720137,0.9994677878451542,0.9996205180418554
ALL59,EC,SPH,1,1.9708476674881897e-14,1.9294616320432843e-14,2.0137660073119128e-14
ALL59,EC,SPH,4,0.4373379218889332,0.41712137621198103,0.4581498827961607
ALL59,EC,SPH,9,0.7157301976980679,0.6972029060085116,0.732931436579946
ALL59,EC,SPH,16,0.8505729058475829,0.8374056365019054,0.8624377450132585
ALL59,EC,SPH,25,0.9148654798855513,0.9066423766855762,0.9223515888091811
ALL59,EC,SPH,36,0.9595310579076202,0.9543340300485826,0.9641174247035863
ALL59,EC,SPH,49,0.9887709218170568,0.9863254117984476,0.9909011694617914
ALL59,EO,ICA,1,0.024366385068708828,0.021749001629033586,0.027316897835775768
ALL59,EO,ICA,4,0.09796165809504051,0.08950004152479074,0.10680549894110503
ALL59,EO,ICA,9,0.2357079628057984,0.2188566841761061,0.2524391548294322
ALL59,EO,ICA,16,0.47731990128930013,0.45640566942822075,0.49700140734208864
