band,degree,ICC3_1,CI_low,CI_high,N,B,seed
alpha,0,0.4117984799614559,0.29709734764573026,0.5168704739229094,202,1000,0
alpha,1,0.3118898215248834,0.17665132621270485,0.43837463069496696,202,1000,0
alpha,2,0.31123209251646433,0.1826276830821034,0.42900379806766414,202,1000,0
alpha,3,0.22994367458743467,0.11150069739680568,0.3469966533600818,202,1000,0
alpha,4,0.16800790192395818,0.050165720914082904,0.2857058530099282,202,1000,0
alpha,5,0.22870291848563998,0.07313858180771173,0.37240018319582413,202,1000,0
alpha,6,0.3379632875000549,0.2084653083519628,0.47707156896309694,202,1000,0
alpha,7,0.0,0.0,0.0,202,1000,0
beta,0,0.4235268319688179,0.3163770419714951,0.5240114353999166,202,1000,0
beta,1,0.30014697950579416,0.16541205710274454,0.4354367302968414,202,1000,0
beta,2,0.3079559219545162,0.17785390546406926,0.42427577739353556,202,1000,0
beta,3,0.24065472601360186,0.12158659154044463,0.3446394006552336,202,1000,0
beta,4,0.19561220014655636,0.08265654863420085,0.305485146385516,202,1000,0
beta,5,0.2195627909994046,0.08057057089107536,0.359047167934824,202,1000,0
beta,6,0.34846107404710824,0.1954477661243452,0.4819036582690865,202,1000,0
beta,7,0.0,0.0,0.0,202,1000,0
delta,0,0.37886515731703224,0.2426674646238816,0.5103840508133642,202,1000,0
delta,1,0.3000840413401774,0.16731535040362194,0.42861081632709697,202,1000,0
delta,2,0.2956074947485531,0.16267084455488723,0.4151654353084192,202,1000,0
delta,3,0.19513521511932805,0.0701679985415053,0.3291521539581577,202,1000,0
delta,4,0.160933467920472,0.022788277939731077,0.2836650302358208,202,1000,0
delta,5,0.23266992588097485,0.0751685885269267,0.3841266071704887,202,1000,0
delta,6,0.37941443392519403,0.24902292855721223,0.4986726968994336,202,1000,0
delta,7,0.0,0.0,0.0,202,1000,0
theta,0,0.3868065178687668,0.24662714200135685,0.5050854891200114,202,1000,0
theta,1,0.3083684418012553,0.1748084469483252,0.43787963813791325,202,1000,0
theta,2,0.2866251514430098,0.16763396413503748,0.3995727353539503,202,1000,0
theta,3,0.21120735359156664,0.088020135383873,0.33347523078411206,202,1000,0
theta,4,0.17575977854324612,0.043033639409708266,0.313212413892591,202,1000,0
theta,5,0.23971053566932315,0.0841531176969619,0.3820508063758606,202,1000,0
theta,6,0.35511523547721874,0.207590929655107,0.4799573410087573,202,1000,0
theta,7,0.0,0.0,0.0,202,1000,0
