method,subset,band,mode,degree,is_degree_endpoint,ICC3_1,CI_low,CI_high
LB,ALL59,alpha,1,0,1,0.4717173593658216,0.3662907176303544,0.5676256653263457
LB,ALL59,alpha,2,1,0,0.43014611675554926,0.3065039179896925,0.5365873636712368
LB,ALL59,alpha,3,1,0,0.36596792964131186,0.21887173625151504,0.5079085317278594
LB,ALL59,alpha,4,1,1,0.5604867921811175,0.4360390610164071,0.6665111933558644
LB,ALL59,alpha,5,2,0,0.5534323602605163,0.3955108798643848,0.6810542100794913
LB,ALL59,alpha,6,2,0,0.43898761177518975,0.29803810863652763,0.564407749878504
LB,ALL59,alpha,7,2,0,0.45556604137799644,0.2944387326564519,0.6173335158427201
LB,ALL59,alpha,8,2,0,0.6066867066262372,0.5008886288987611,0.6939948776722743
LB,ALL59,alpha,9,2,1,0.31319782883331615,0.09013046955815028,0.4901864645062435
LB,ALL59,alpha,10,3,0,0.5937132271405311,0.480399221891887,0.6959103703736949
LB,ALL59,alpha,11,3,0,0.34172742982894044,0.19330637178280632,0.4748797795007415
LB,ALL59,alpha,12,3,0,0.46590861433789804,0.333962956146213,0.5978559572716536
LB,ALL59,alpha,13,3,0,0.5115520269945624,0.391546974556295,0.6218118179365422
LB,ALL59,alpha,14,3,0,0.32621828242628254,0.1664138501517972,0.4925168068306511
LB,ALL59,alpha,15,3,0,0.4521249597914008,0.33541335440826636,0.5667982501958025
LB,ALL59,alpha,16,3,1,0.5717130172088951,0.4171538180789856,0.6856826180512171
LB,ALL59,alpha,17,4,0,0.5610126735773954,0.43312819062087476,0.6750239934503723
LB,ALL59,alpha,18,4,0,0.38075795750858965,0.20772594704714206,0.5251548282241087
LB,ALL59,alpha,19,4,0,0.48335916635703313,0.3203826393383025,0.6215650222292205
LB,ALL59,alpha,20,4,0,0.5550858310636324,0.3995918438380975,0.6857363616833075
LB,ALL59,alpha,21,4,0,0.545311439824898,0.4355762188955394,0.6490242462304318
LB,ALL59,alpha,22,4,0,0.2672053154588617,0.10072201232216631,0.42247129592748484
LB,ALL59,alpha,23,4,0,0.39976063225858466,0.28006964096965303,0.5188971536660615
LB,ALL59,alpha,24,4,0,0.44130286170162875,0.31651401554357295,0.5460403712603789
LB,ALL59,alpha,25,4,1,0.49142991698311267,0.3667263104033856,0.6052698132778672
LB,ALL59,alpha,26,5,0,0.4946500402091755,0.34099483467915376,0.6188511319522388
LB,ALL59,alpha,27,5,0,0.4283255365080713,0.2466044111314564,0.574116007895109
