method,subset,band,mode,degree,is_degree_endpoint,ICC3_1,CI_low,CI_high
SPH,ALL59,alpha,1,0,1,0.4552994665256013,0.3397104201303236,0.565663802645617
SPH,ALL59,alpha,2,1,0,0.4851500286030384,0.33220483632469927,0.6133847728014099
SPH,ALL59,alpha,3,1,0,0.5039635927795882,0.3580874921551952,0.615823613638901
SPH,ALL59,alpha,4,1,1,0.4579889597668364,0.322902984155355,0.579076762208412
SPH,ALL59,alpha,5,2,0,0.4322899343771326,0.22290037835349252,0.5797285125021563
SPH,ALL59,alpha,6,2,0,0.5982260032579383,0.4725566684039462,0.702962698146218
SPH,ALL59,alpha,7,2,0,0.5345644674228348,0.4059386728813401,0.6593187881617972
SPH,ALL59,alpha,8,2,0,0.4629215470966054,0.3423105973207235,0.5736620906181833
SPH,ALL59,alpha,9,2,1,0.41497795236422935,0.2756421971780205,0.56482129628242
SPH,ALL59,alpha,10,3,0,0.4211398744183183,0.27694096858067896,0.5438390032098832
SPH,ALL59,alpha,11,3,0,0.4302367933542718,0.23602976875110132,0.591151980898712
SPH,ALL59,alpha,12,3,0,0.4737395038477395,0.3126093478732788,0.6180995213932019
SPH,ALL59,alpha,13,3,0,0.5812745292806947,0.42958545756684424,0.6991056313149095
SPH,ALL59,alpha,14,3,0,0.48130664116790906,0.3525282849000869,0.5906085082964064
SPH,ALL59,alpha,15,3,0,0.3790076819326501,0.2161186694177505,0.5209749156047044
SPH,ALL59,alpha,16,3,1,0.5351473941556003,0.4241917426929888,0.6432628645854855
SPH,ALL59,alpha,17,4,0,0.4864455344931525,0.29877524357279345,0.6467087162275154
SPH,ALL59,alpha,18,4,0,0.27240273127507664,0.14452749746981092,0.40786765249951307
SPH,ALL59,alpha,19,4,0,0.4220059046059721,0.2306103511518616,0.5675684554147031
SPH,ALL59,alpha,20,4,0,0.5650144012206926,0.4415638393803207,0.673858547976819
SPH,ALL59,alpha,21,4,0,0.5378874066295536,0.40745764613849966,0.6519091743517542
SPH,ALL59,alpha,22,4,0,0.41652675272610545,0.2974876667359191,0.5231193164059617
SPH,ALL59,alpha,23,4,0,0.4853845049328324,0.36867657092034717,0.5994039967064947
SPH,ALL59,alpha,24,4,0,0.3794718029034585,0.20809525550219193,0.5289240791054145
SPH,ALL59,alpha,25,4,1,0.5650261509826005,0.44259999800556915,0.656782399109447
SPH,ALL59,alpha,26,5,0,0.5058970362103538,0.3982216391373654,0.6103125550155994
SPH,ALL59,alpha,27,5,0,0.4716103273478467,0.34306410105484786,0.5940045890636644
SPH,ALL59,alpha,28,5,0,0.5137471675243871,0.3931762776700468,0.6302928253101898
SPH,ALL59,alpha,29,5,0,0.4270558281814849,0.20303558448584175,0.5943871800026144
SPH,ALL59,alpha,30,5,0,0.4592865371755802,0.31504796961432857,0.597567485743576
SPH,ALL59,alpha,31,5,0,0.5949638291871364,0.4611963887725955,0.7129533567398723
SPH,ALL59,alpha,32,5,0,0.4777373771567451,0.3664606387433145,0.5925689865222192
SPH,ALL59,alpha,33,5,0,0.4343491051681176,0.2723350521340507,0.5777292387629769
SPH,ALL59,alpha,34,5,0,0.5754852734228305,0.46884870916773097,0.6771474251596769
SPH,ALL59,alpha,35,5,0,0.631600486551999,0.5313581656321543,0.7047738420957915
SPH,ALL59,alpha,36,5,1,0.5333251997926787,0.3940083355102435,0.6486456621089068
SPH,ALL59,alpha,37,6,0,0.5398612970038339,0.3927394427208502,0.6533152575736896
SPH,ALL59,alpha,38,6,0,0.5871863503809175,0.4788293781187335,0.6795616914745118
SPH,ALL59,alpha,39,6,0,0.43982782630460404,0.30169949029534493,0.5608867799165079
SPH,ALL59,alpha,40,6,0,0.4223356662010756,0.2819561684925644,0.5636053504867691
SPH,ALL59,alpha,41,6,0,0.4679694749517286,0.2718035690361625,0.6286687073710251
SPH,ALL59,alpha,42,6,0,0.46469795735045694,0.32079034562878206,0.5927333988845688
SPH,ALL59,alpha,43,6,0,0.5735965829547286,0.445343890387796,0.6837950040058868
SPH,ALL59,alpha,44,6,0,0.4367986311410008,0.3217365320874202,0.5433276486921119
SPH,ALL59,alpha,45,6,0,0.5356041729164633,0.4074042832735,0.6504047872394133
SPH,ALL59,alpha,46,6,0,0.47145784793515105,0.3281101559182245,0.5972128421476526
SPH,ALL59,alpha,47,6,0,0.685715664349227,0.5982644873476002,0.7511812735957246
SPH,ALL59,alpha,48,6,0,0.5544854117237359,0.42500465372968155,0.6756138972527213
SPH,ALL59,alpha,49,6,1,0.6385533692937633,0.5170076259652989,0.7324808507447393
SPH,ALL59,alpha,50,7,0,0.5996741199124673,0.498060652827843,0.6897153279362609
SPH,ALL59,alpha,51,7,0,0.5411095638998936,0.4049109335442833,0.6574147972734627
SPH,ALL59,alpha,52,7,0,0.6849266157580283,0.5913506898001647,0.7658655598984129
SPH,ALL59,alpha,53,7,0,0.45532014011622063,0.3174538039404811,0.5754467540190308
SPH,ALL59,alpha,54,7,0,0.4818384281694927,0.33854155009060843,0.6080606391155574
SPH,ALL59,alpha,55,7,0,0.5124943253926886,0.3204771478665154,0.6740462796087068
SPH,ALL59,alpha,56,7,0,0.5414066008171704,0.4085221765240111,0.6510378803223053
SPH,ALL59,alpha,57,7,0,0.6070865331276056,0.4951744653318735,0.6990570681811143
