subset,method,band,K_eff,thr,auc_mean,auc_lo,auc_hi,B,alpha,count_ge_thr,pct_ge_thr,pct_lo,pct_hi
ALL59,LB,alpha,20,0.3,,,,2000,0.05,20.0,100.0,100.0,100.0
ALL59,LB,alpha,20,0.5,,,,2000,0.05,8.0,40.0,20.0,60.0
ALL59,LB,alpha,20,AUC,0.47196809665261075,0.4325978219226235,0.5099042458077659,2000,0.05,,,,
ALL59,SPH,alpha,20,0.3,,,,2000,0.05,19.0,95.0,85.0,100.0
ALL59,SPH,alpha,20,0.5,,,,2000,0.05,6.0,30.0,10.0,50.0
ALL59,SPH,alpha,20,AUC,0.4696551470972941,0.43644833715801246,0.5000685559932417,2000,0.05,,,,
ALL59,LB,beta,20,0.3,,,,2000,0.05,20.0,100.0,100.0,100.0
ALL59,LB,beta,20,0.5,,,,2000,0.05,7.0,35.0,15.0,55.00000000000001
ALL59,LB,beta,20,AUC,0.4724030395914962,0.4373635479938247,0.5068029617694761,2000,0.05,,,,
ALL59,SPH,beta,20,0.3,,,,2000,0.05,19.0,95.0,85.0,100.0
ALL59,SPH,beta,20,0.5,,,,2000,0.05,8.0,40.0,20.0,60.0
ALL59,SPH,beta,20,AUC,0.4737725011623368,0.4377490995096119,0.5060182147752059,2000,0.05,,,,
ALL59,LB,delta,20,0.3,,,,2000,0.05,19.0,95.0,85.0,100.0
ALL59,LB,delta,20,0.5,,,,2000,0.05,8.0,40.0,20.0,60.0
ALL59,LB,delta,20,AUC,0.4659502404688059,0.42449142584521465,0.5066650855585827,2000,0.05,,,,
ALL59,SPH,delta,20,0.3,,,,2000,0.05,19.0,95.0,85.0,100.0
ALL59,SPH,delta,20,0.5,,,,2000,0.05,6.0,30.0,10.0,50.0
ALL59,SPH,delta,20,AUC,0.4616710114609135,0.4289424445162972,0.49236017672491555,2000,0.05,,,,
ALL59,LB,theta,20,0.3,,,,2000,0.05,20.0,100.0,100.0,100.0
ALL59,LB,theta,20,0.5,,,,2000,0.05,8.0,40.0,20.0,60.0
ALL59,LB,theta,20,AUC,0.47794167897921797,0.4374445801507354,0.5180295555902212,2000,0.05,,,,
ALL59,SPH,theta,20,0.3,,,,2000,0.05,19.0,95.0,85.0,100.0
ALL59,SPH,theta,20,0.5,,,,2000,0.05,6.0,30.0,10.0,50.0
ALL59,SPH,theta,20,AUC,0.468689989692054,0.4338412022692909,0.5001972554263601,2000,0.05,,,,
