subset,condition,K,R2_mean,R2_lo,R2_hi,N,B,alpha
ALL59,EC,5,0.6318823694855641,0.6117142379333583,0.6518851309800001,202,2000,0.05
ALL59,EC,10,0.7432966020080264,0.7279247178011644,0.7580522784057775,202,2000,0.05
ALL59,EC,15,0.8231740508056872,0.8095893216374974,0.8357277370721751,202,2000,0.05
ALL59,EC,20,0.873604506817765,0.8634853408132349,0.8834330207587519,202,2000,0.05
ALL59,EC,25,0.9157915938693179,0.9080797077339418,0.9233440593186575,202,2000,0.05
ALL59,EC,30,0.9366503972740867,0.9302087446375045,0.9426276647149143,202,2000,0.05
ALL59,EC,35,0.9496762511453749,0.9444250060572154,0.9547370484209862,202,2000,0.05
ALL59,EC,40,0.9677850048719411,0.9639551746973715,0.9715526693132622,202,2000,0.05
ALL59,EC,45,0.9792728542801841,0.9762457942495693,0.9820783013870545,202,2000,0.05
ALL59,EC,50,0.9881839137242097,0.9863317951271616,0.9899584586903915,202,2000,0.05
ALL59,EO,5,0.5034670055426336,0.47984227239231225,0.5255041234310858,202,2000,0.05
ALL59,EO,10,0.6584858642223451,0.6402779115477946,0.6764859096534814,202,2000,0.05
ALL59,EO,15,0.7350012769506805,0.7180767744397134,0.7512773655139844,202,2000,0.05
ALL59,EO,20,0.807740047681322,0.7935758015983737,0.8211132515723836,202,2000,0.05
ALL59,EO,25,0.8672462201598539,0.8552838841408429,0.8786268723304923,202,2000,0.05
ALL59,EO,30,0.8965558521091737,0.8858741387253568,0.9060920081542994,202,2000,0.05
ALL59,EO,35,0.9178008591771233,0.9088736182578694,0.9261070319188263,202,2000,0.05
ALL59,EO,40,0.9447855610849248,0.9378751472050311,0.951022754946583,202,2000,0.05
ALL59,EO,45,0.961676166538482,0.9563047263909639,0.9666123258690156,202,2000,0.05
ALL59,EO,50,0.9782565695434806,0.9749948748382044,0.9810802423627332,202,2000,0.05
