subject,condition,subset,m_used,K_last,R2_at_Klast,K70,K70_norm,K70_cens,K70_norm_cens,attained_70,K75,K75_norm,K75_cens,K75_norm_cens,attained_75,K90,K90_norm,K90_cens,K90_norm_cens,attained_90,R2_K1,R2_K4,R2_K9,R2_K16,R2_K25,R2_K36,R2_K49
010002,EC,ALL59,59,59,1.0,5,0.0847457627118644,59,1.0,1,8,0.13559322033898305,59,1.0,1,27,0.4576271186440678,59,1.0,1,0.5634251824418479,0.6869108630533857,0.7849226448844981,0.8586554565452514,0.8937455348676346,0.9320383036948222,0.9792764301269933
010003,EC,ALL59,59,59,1.0,4,0.06779661016949153,59,1.0,1,4,0.06779661016949153,59,1.0,1,14,0.23728813559322035,59,1.0,1,0.4399094328768753,0.7769410646948621,0.8136582419292844,0.9197785504932259,0.9626117624876718,0.9898486723028788,0.9986295648108894
010004,EC,ALL59,59,59,1.0,5,0.0847457627118644,59,1.0,1,9,0.15254237288135594,59,1.0,1,18,0.3050847457627119,59,1.0,1,0.2718229450777151,0.5925061727563726,0.7595167253333052,0.8795986001338054,0.9425999079520853,0.9706514832599287,0.9949200258430851
010005,EC,ALL59,59,59,1.0,9,0.15254237288135594,59,1.0,1,9,0.15254237288135594,59,1.0,1,23,0.3898305084745763,59,1.0,1,0.25188655029706997,0.5703371852604808,0.7717397213355127,0.8537669581129421,0.9457259275257135,0.9826210603669221,0.9960279502748047
010006,EC,ALL59,59,59,1.0,11,0.1864406779661017,59,1.0,1,12,0.2033898305084746,59,1.0,1,27,0.4576271186440678,59,1.0,1,0.17124555395725946,0.29702917813418556,0.6791818873096525,0.8026898912540326,0.8832338983082773,0.9616489561895949,0.9910005850395562
010007,EC,ALL59,55,55,1.0,5,0.09090909090909091,55,1.0,1,5,0.09090909090909091,55,1.0,1,15,0.2727272727272727,55,1.0,1,0.5259559030132231,0.6604376563530803,0.8447260636868154,0.9385510187555066,0.9629736736390441,0.9830438895786437,0.9942635173196265
010010,EC,ALL59,57,57,1.0,4,0.07017543859649122,57,1.0,1,5,0.08771929824561403,57,1.0,1,14,0.24561403508771928,57,1.0,1,0.5385690151452632,0.7344056228219604,0.8103399088446283,0.9246044314260261,0.9604701393310706,0.977357343377565,0.9944730097631131
010012,EC,ALL59,59,59,1.0,8,0.13559322033898305,59,1.0,1,11,0.1864406779661017,59,1.0,1,23,0.3898305084745763,59,1.0,1,0.3035760058310983,0.6803509929243989,0.738976983201852,0.8273110945071762,0.9320334743352913,0.9781623600066965,0.996306495540764
010016,EC,ALL59,58,58,1.0,14,0.2413793103448276,58,1.0,1,15,0.25862068965517243,58,1.0,1,28,0.4827586206896552,58,1.0,1,0.3184927636645464,0.5729210245852218,0.6688566199895002,0.7974716003024452,0.8851896328610757,0.9478994665524044,0.9881169926689017
010017,EC,ALL59,59,59,1.0,13,0.22033898305084745,59,1.0,1,17,0.288135593220339,59,1.0,1,33,0.559322033898305,59,1.0,1,0.21313483619285817,0.40282591558790387,0.5682680279629557,0.7411599815602561,0.83186084352526,0.9475524799192832,0.9850838996216277
010019,EC,ALL59,55,55,1.0,9,0.16363636363636364,55,1.0,1,9,0.16363636363636364,55,1.0,1,20,0.36363636363636365,55,1.0,1,0.26615993642430197,0.49271896638991847,0.7882227446316658,0.8566711262875683,0.9379817750583465,0.9734596194807953,0.996762250888556
010020,EC,ALL59,56,56,1.0,23,0.4107142857142857,56,1.0,1,25,0.44642857142857145,56,1.0,1,41,0.7321428571428571,56,1.0,1,0.08688127349880118,0.29746689946651333,0.4396896066625714,0.5479761065081064,0.7685350267003386,0.8894670969868324,0.9753020207223005
010021,EC,ALL59,59,59,1.0,9,0.15254237288135594,59,1.0,1,12,0.2033898305084746,59,1.0,1,21,0.3559322033898305,59,1.0,1,0.0733672107686532,0.3628701874653573,0.7376983319355377,0.881411520840038,0.9315654753916954,0.9637917075866355,0.9858151457720502
010022,EC,ALL59,59,59,1.0,4,0.06779661016949153,59,1.0,1,5,0.0847457627118644,59,1.0,1,21,0.3559322033898305,59,1.0,1,0.21369333808727045,0.7452174310350564,0.8079725246747341,0.8594657110948173,0.934296524137625,0.9497568389422878,0.9817386597445646
010023,EC,ALL59,59,59,1.0,6,0.1016949152542373,59,1.0,1,6,0.1016949152542373,59,1.0,1,19,0.3220338983050847,59,1.0,1,0.2087420904086189,0.60731606485491,0.8169000160802259,0.876891675981429,0.9506882752893006,0.9700351668372673,0.9958984345809158
010024,EC,ALL59,59,59,1.0,4,0.06779661016949153,59,1.0,1,5,0.0847457627118644,59,1.0,1,19,0.3220338983050847,59,1.0,1,0.3892222153120279,0.7017944446100826,0.8158509215943706,0.8667597983614523,0.9321664578169143,0.9708974438029658,0.9939607235791861
010026,EC,ALL59,58,58,1.0,6,0.10344827586206896,58,1.0,1,6,0.10344827586206896,58,1.0,1,20,0.3448275862068966,58,1.0,1,0.5069552468423723,0.6150915367251528,0.8043604288434084,0.8726769534213938,0.9567168099042382,0.9750823974250724,0.9914221036465208
010027,EC,ALL59,56,56,1.0,9,0.16071428571428573,56,1.0,1,11,0.19642857142857142,56,1.0,1,23,0.4107142857142857,56,1.0,1,0.22470582296604236,0.4861316101105997,0.700509569208502,0.8252207293034877,0.9373724940757421,0.9726055947418051,0.9982970981724889
010028,EC,ALL59,59,59,1.0,9,0.15254237288135594,59,1.0,1,10,0.1694915254237288,59,1.0,1,19,0.3220338983050847,59,1.0,1,0.36837977170517044,0.6185356853650172,0.7474048204695184,0.8767868705688002,0.955324332872577,0.9716874420815974,0.9886329707170202
010029,EC,ALL59,59,59,1.0,5,0.0847457627118644,59,1.0,1,10,0.1694915254237288,59,1.0,1,15,0.2542372881355932,59,1.0,1,0.29582754351081425,0.6572987376930105,0.7418868181000944,0.9301842670611866,0.9581720515426443,0.9767029485865244,0.9900025840906038
010030,EC,ALL59,59,59,1.0,10,0.1694915254237288,59,1.0,1,14,0.23728813559322035,59,1.0,1,23,0.3898305084745763,59,1.0,1,0.19378977091991625,0.3921134130603507,0.628435116737488,0.7794291427713097,0.9353227943699907,0.9741857300052801,0.9908884946609562
010031,EC,ALL59,57,57,1.0,4,0.07017543859649122,57,1.0,1,5,0.08771929824561403,57,1.0,1,15,0.2631578947368421,57,1.0,1,0.42433829810572027,0.7415965952457629,0.840583387214484,0.9297919083083145,0.9555682715597889,0.9800347951578864,0.9972951786595434
010032,EC,ALL59,55,55,1.0,14,0.2545454545454545,55,1.0,1,17,0.3090909090909091,55,1.0,1,34,0.6181818181818182,55,1.0,1,0.2831920211885929,0.4497550240353343,0.6567784903433972,0.7392677741949548,0.8564101130276911,0.9392997975598358,0.9888302713927996
010033,EC,ALL59,59,59,1.0,9,0.15254237288135594,59,1.0,1,11,0.1864406779661017,59,1.0,1,22,0.3728813559322034,59,1.0,1,0.36257925176187183,0.5528266460472377,0.7040271631172234,0.8540296780110326,0.9311529747104086,0.95435469109901,0.9900436827266705
010034,EC,ALL59,56,56,1.0,14,0.25,56,1.0,1,16,0.2857142857142857,56,1.0,1,28,0.5,56,1.0,1,0.1720645016007443,0.4127585346015778,0.5471548377843046,0.759794068623415,0.8529192885579934,0.926890201887913,0.9891736158056905
010035,EC,ALL59,59,59,1.0,9,0.15254237288135594,59,1.0,1,10,0.1694915254237288,59,1.0,1,14,0.23728813559322035,59,1.0,1,0.317151199858997,0.6296656547298084,0.7016226707955268,0.9538935484356911,0.9742235296698328,0.9820939688837129,0.9923767278191549
010036,EC,ALL59,57,57,1.0,5,0.08771929824561403,57,1.0,1,9,0.15789473684210525,57,1.0,1,20,0.3508771929824561,57,1.0,1,0.4807690072560928,0.5680441221276235,0.7600292541019306,0.8479261527081619,0.9504380033105169,0.9692062295941568,0.9933673258097129
010037,EC,ALL59,57,57,1.0,11,0.19298245614035087,57,1.0,1,11,0.19298245614035087,57,1.0,1,22,0.38596491228070173,57,1.0,1,0.40115023865866395,0.639207576360991,0.6691900840127482,0.8506953218101667,0.915297172645287,0.9551459028018394,0.9899877512921786
010038,EC,ALL59,58,58,1.0,5,0.08620689655172414,58,1.0,1,10,0.1724137931034483,58,1.0,1,23,0.39655172413793105,58,1.0,1,0.3882042439125004,0.6905299842220565,0.7434427285125441,0.835926080937857,0.936340055056815,0.9642968179655523,0.9906905384122883
010039,EC,ALL59,59,59,1.0,20,0.3389830508474576,59,1.0,1,24,0.4067796610169492,59,1.0,1,47,0.7966101694915254,59,1.0,1,0.016135871596561217,0.25046497668956585,0.4848910484128551,0.6075258807037952,0.7582880260067492,0.8188301328706232,0.9067282352390471
010040,EC,ALL59,59,59,1.0,5,0.0847457627118644,59,1.0,1,9,0.15254237288135594,59,1.0,1,16,0.2711864406779661,59,1.0,1,0.34682506399405916,0.6923815519392629,0.7540743097906696,0.9002213394738868,0.9503731671390178,0.9689217712424677,0.986986254887968
010041,EC,ALL59,57,57,1.0,5,0.08771929824561403,57,1.0,1,9,0.15789473684210525,57,1.0,1,20,0.3508771929824561,57,1.0,1,0.38141496362562655,0.6831644579054773,0.791856628517216,0.8720857027006189,0.9186454136250088,0.9705967389814829,0.987940234775981
010042,EC,ALL59,57,57,1.0,5,0.08771929824561403,57,1.0,1,5,0.08771929824561403,57,1.0,1,19,0.3333333333333333,57,1.0,1,0.34718137974529684,0.6954562394199614,0.8046518989439682,0.8779602118164231,0.9375890802606385,0.9786208434641366,0.9927573397232515
010044,EC,ALL59,57,57,1.0,11,0.19298245614035087,57,1.0,1,15,0.2631578947368421,57,1.0,1,37,0.6491228070175439,57,1.0,1,0.17724639595600683,0.5238161317970282,0.6484151086865022,0.7573910541135257,0.8259296570860557,0.8978924864760047,0.9832000917198837
010045,EC,ALL59,59,59,1.0,6,0.1016949152542373,59,1.0,1,8,0.13559322033898305,59,1.0,1,17,0.288135593220339,59,1.0,1,0.2684977629301567,0.5161494403014305,0.8355843018377519,0.8963349952884729,0.929300213939662,0.9621102060955534,0.9885597435306073
010046,EC,ALL59,59,59,1.0,8,0.13559322033898305,59,1.0,1,9,0.15254237288135594,59,1.0,1,21,0.3559322033898305,59,1.0,1,0.11261314535455175,0.35701720154593386,0.7728278701987404,0.8655324334005883,0.9264418207581052,0.9638914083190471,0.9877223329923234
010047,EC,ALL59,57,57,1.0,5,0.08771929824561403,57,1.0,1,7,0.12280701754385964,57,1.0,1,20,0.3508771929824561,57,1.0,1,0.4747141521367243,0.6147495874821237,0.7938147167456706,0.8650120494782246,0.9266508495183989,0.9744405740499169,0.9913727072595941
010048,EC,ALL59,59,59,1.0,5,0.0847457627118644,59,1.0,1,5,0.0847457627118644,59,1.0,1,18,0.3050847457627119,59,1.0,1,0.4862842847294786,0.5861308739270755,0.8068417118000084,0.8891240371389018,0.9538977542088773,0.9811123796503066,0.9949670443375286
010049,EC,ALL59,59,59,1.0,19,0.3220338983050847,59,1.0,1,21,0.3559322033898305,59,1.0,1,30,0.5084745762711864,59,1.0,1,0.0034370399787253883,0.26858308956169447,0.5249492078205639,0.6623144279572809,0.8667177749187194,0.9090522296971179,0.9512303850346981
010050,EC,ALL59,57,57,1.0,10,0.17543859649122806,57,1.0,1,10,0.17543859649122806,57,1.0,1,21,0.3684210526315789,57,1.0,1,0.39059977210406605,0.5917198433223948,0.6927425427324864,0.8359933366005854,0.9326921334704966,0.9798812176681142,0.9982397744023254
010051,EC,ALL59,58,58,1.0,4,0.06896551724137931,58,1.0,1,4,0.06896551724137931,58,1.0,1,24,0.41379310344827586,58,1.0,1,0.3047408375476524,0.7746959239619013,0.7988593766883121,0.8665303474357073,0.901803209704121,0.9369660825249132,0.9806376596214836
