subject,m_used,m_canonical,eo_epochs,ec_epochs,fmin,fmax,n_freqs,cycles_rule,decim,win_len_s,do_band_agg,npz_path
010002,59,59,47,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010002/sub-010002_Y_tfr.npz
010003,59,59,48,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010003/sub-010003_Y_tfr.npz
010004,59,59,47,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010004/sub-010004_Y_tfr.npz
010005,59,59,47,48,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010005/sub-010005_Y_tfr.npz
010006,59,59,44,46,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010006/sub-010006_Y_tfr.npz
010007,55,59,47,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010007/sub-010007_Y_tfr.npz
010010,57,59,45,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010010/sub-010010_Y_tfr.npz
010012,59,59,47,48,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010012/sub-010012_Y_tfr.npz
010016,58,59,47,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010016/sub-010016_Y_tfr.npz
010017,59,59,47,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010017/sub-010017_Y_tfr.npz
010019,55,59,47,48,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010019/sub-010019_Y_tfr.npz
010020,56,59,41,42,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010020/sub-010020_Y_tfr.npz
010021,59,59,45,45,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010021/sub-010021_Y_tfr.npz
010022,59,59,47,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010022/sub-010022_Y_tfr.npz
010023,59,59,42,48,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010023/sub-010023_Y_tfr.npz
010024,59,59,47,46,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010024/sub-010024_Y_tfr.npz
010026,58,59,43,45,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010026/sub-010026_Y_tfr.npz
010027,56,59,47,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010027/sub-010027_Y_tfr.npz
010028,59,59,47,48,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010028/sub-010028_Y_tfr.npz
010029,59,59,48,48,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010029/sub-010029_Y_tfr.npz
010030,59,59,46,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010030/sub-010030_Y_tfr.npz
010031,57,59,46,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010031/sub-010031_Y_tfr.npz
010032,55,59,47,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010032/sub-010032_Y_tfr.npz
010033,59,59,47,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010033/sub-010033_Y_tfr.npz
010034,56,59,45,46,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010034/sub-010034_Y_tfr.npz
010035,59,59,47,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010035/sub-010035_Y_tfr.npz
010036,57,59,45,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010036/sub-010036_Y_tfr.npz
010037,57,59,47,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010037/sub-010037_Y_tfr.npz
010038,58,59,46,48,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010038/sub-010038_Y_tfr.npz
010039,59,59,46,46,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010039/sub-010039_Y_tfr.npz
010040,59,59,48,48,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010040/sub-010040_Y_tfr.npz
010041,57,59,46,47,2.0,30.0,15,constQ,2,10.0,True,/Users/hyung/lemon_work/derivatives/Y_tfr/sub-010041/sub-010041_Y_tfr.npz
